id,label
1,11 al (Hr. Ibnu Majah dinilai shahih oleh Syaikh Al-abani)
2,"Hadist ini berbunyi, : ""Menuntut ilmu itu wajib atas setiap muslim"
3,"Hukumnya wajib (fardhu), menyatakan bahwa belajar bukan sekedar pilihan,"
4,"atau hobi, melainkan instruksi langsung dari agama. Jika ditinggalkan"
5,"secara sengaja, maka seseorang berdosa"
6,"Berlaku untuk siapa saja, kata setiap muslim mencakup laki-laki maupun"
7,"perempuan, kaya maupun miskin, tanpa pandang bulu"
8,"bl Al-Quran, Al-Mujadilah ayat 11"
9,"Surah/ayat ini berbunyi: ""…Niscaya Allah akan mengangkat (derajat)"
10,orang-orang yang beriman diantaramu dan beberapa orang yang diberi ilmu
11,beberapa derajat
12,dijelaskan bahwa Allah berjanji menaikan posisi orang yang berilmu
13,Didunia mereka akan lebih dihormatik dan bermanfaat bagi orang lain
14,Diakhirat mereka diberikan kedudukan yang tinggi dan mulia
15,Ayat ini menunjukan bahwa modal hidup bukan hanya percaya saja
16,"tapi juga harus berilmu. Iman menjaga moral kita, sedangkan ilmu"
17,membuat kita mampu berinovasi dan beribadah dengan benar
18,2l aj Perkembangan ilmu pengetahuan Masa Umayah
19,Arabisasi (penggunaan bahasa Arab): Khalifah Malik bin Marwan
20,menetapkan bahasa Arrab sebagai bahasa resmi negara. Dampaknya bahasa
21,"Arab berkembang menjadi bahasa ilmiah internasional, mendorong"
22,penerjemahan buku-buku asing secara massal
23,kodifikasi ilmu agama: karena wilayah islam semakin luas dan
24,"banyak bangsa non-Arab masuk Islam, mulailah dilakukan pembukuan"
25,ilmu-ilmu agama secara sistematis untuk menjaga keaslian ajaran
26,Pembaruan Infrasturktur ilmiah: Dinasi Umayaah mulai mendirikan
27,berfungsi sebagai riset medis praktis
28,Assalamuallaikum wr.wb
29,Pertama-tama marilah kita panjatkan puji serta syukur kehadirat
30,Allah SWT yang telah melimpahkan rahmat dan karunia-Nya kepada
31,"kita semua, solawat serta salam semoga terlimpah curahkan kepada junju-"
32,"ngan kita, Nabi Besar Muhammad SAW yang telah membawa kita"
33,"dari zaman jahiliyah ke zaman terang benderang seperti sekarang ini, tidak"
34,"lupa kepada keluarganya, sahabatnya dan pengikutnya hingga akhir zaman"
35,"Pada kesempatan ini, izinkan saya  untuk menyampaikan pidato tentang"
36,Bahaya narkoba. Narkoba adalah narkotika dan obat/bahan berbahaya
37,yang sekarang ini banyak disalahgunakan oleh masyarakat di Indonesia'
38,terutaman di kalangan remaja dan tentu saja memiliki dampak yang ber-
39,"bahaya, bahaya narkoba tidak hanya berpengaruh pada fisik saja"
40,tetapi bisa mengganggu mental/jiwa pecandu narkoba tersebut. Oleh
41,karena itulah saya ingin berbagi pengetahuan tentang Bahaya Narkoba
42,Bahaya narkoba untuk kesehatan yang terberat adalah efek keter-
43,gantungan obat itu sendiri. Karena dengan efek yang ditimbulkan itu sendiri
44,Bagi para pecandu narkoba adalah keinginan untuk selalu memakainya
45,secara berulanga. Jika tidak memakainya kembali akan ada rasa sakit
46,yang dialami para penderita ketergantungan narkotika.
47,"Selain menimbulkan ketergantungan, narkoba juga bisa menimbulkan"
48,bahaya bagi tubuh. Sekarang ini banyak sekali penyakit-penyakit yang
49,"ditimbulkan akibat dari mengkonsumsi narkoba, misalnya penyakit gagal"
50,"ginjal, radang paru-paru, hepatitis, bahkan sampai penyakit yang me-"
51,matikan yaitu HIV AIDS hingga menyebabkan kematian.
52,"untukUntuk itu, marilah kita sama-sama hindari dan jauhi serta ikut"
53,"memberantas penggunaan narkoba, misalnya dengan melakukan kerjasama"
54,dengan pihak yang berwenang untuk melakukan penyuluhan tentang bahaya
55,"narkoba, atau mungkin mengadakan razia mendadak secara rutin."
56,"Kemudian, pendampingan dari orangtua dengan memberikan perhatian"
57,dan kasih sayang
58,"Demikianlah pidato yang bisa saya sampaikan, apabila ada kesalahpahaman dalam"
59,bertutur kata saya mohon maaf. Atas waktu dan perhatian saya ucapkan terimakasih
60,"Sejarawan Yayasan Nation Building (Nabil), Didi Kwartanada,"
61,"menambahkan informasi tentang seorang priayi Inggris, earl George"
62,"Samuel Windsor (1813-1865), dalam karya ilmiah berjudul On The"
63,"Leading Characteristics of the Papuan, Australian and Malay-"
64,Polynesian Nations (1850) mengusulkan sebutan khusus bagi warga
65,Kepulauan Hindia-Belanda dengan nama Indunesian atau Malaunes
66,"Tokoh lain bernama Adolf Bastian (1826-1905), Guru Besar Etnologi"
67,"di Universitas Berlin, yang mempopulerkan nama Indonesia"
68,di kalangan sarjana Belanda.
69,Bastian memopulerkan nama Indonesia dalam bukunya yang
70,"berjudul Indonesia Oder Die Inseln Des Malayischen Archipel, terbit"
71,1884 sebanyak lima jilid. Buku tersebut membuat hasil penelitianya
72,"di Nusantara dalam kurun 1864-1880. Menurut Carey, Bastian"
73,membagi wilayah Nusantara dalam zona etnis dan atropologi
74,PENGERTIAN DAN PRINSIP-PRINSIP KOPERASI
75,A.Pengertian
76,"1) Koperasi berasal dari bahasa latin ""coopere"" yang dalam"
77,"bahasa Inggris disebut ""coopration"" (bekerjasama). Co berarti ber-"
78,sama dan operation berarti bekerja. Dalam hal ini kerja sama
79,yang dilakukan oleh orang-orang yang mempunyai kepentingan dan
80,tujuan yang sama
81,2) Dalam definisi ILO. Terdapat 6 elemen yang dikandung
82,koprasi sebagai berikut:
83,Perkoprasian adalah perkumpulan orang-orang (association of
84,person)
85,Penggabungan orang-orang tersebut berdasarkan kesukarelaan
86,(voluntarily joined together)
87,Terdapat tujuan ekonomi yang ingin dicapai (to achieve a
88,common economic end)
89,Koperasi yang dibentuk adalah suatu organisasi bisnis (badan
90,usaha) yang diawasi dan dikendalikan secara demokratis (for-
91,nation of a democratically controlled bussines organization).
92,Terdapat kontribusi yang adil terhadap modal yang dibutuh
93,kan (making equitable contribution to the capital required)
94,Anggota koperasi menerima resiko dan manfaat secara seim-
95,bang (accepting a fair share of the risk and benefits of the
96,undertaking).
97,3) Definisi Chaniago
98,Arifin Chaniago mendefinisikan koprasi sebagaisuatu perkum-
99,pulan yang beranggotakan orang-orang atau badan-badan hukum
100,yang memberikan kebebasan kepada anggota untuk masuk
101,dan keluar dengan bekerjaama secara kekeluargaan menjalankan
102,usaha untuk mempertinggi kesejahteraan jasmaniah para anggotanya
103,4) Definisi Hatta
104,Definisi menurut Bapak Koprasi Indonesia Moh. Hatta adalah
105,usaha bersama untuk memperbaiki nasib penghidupan ekonomi
106,berdasarkan tolong menolong.
107,"buruh tani, sedangkah lainya berdagang atau menjadi"
108,"Msyarakat Desa Kalilusi dikenal memiliki ikatan sosial yang kuat,"
109,Tercermin dari tradisi membantu dalam berbagai sosial kemasyarakatan
110,Budaya gotong royong di Desa Klilusi masih dijalankan secara rutin
111,"dalam berbagai kegiatan, antara lainn:"
112,"jalan, parit, lingkungan sekitar rumah, serta tempat ibadah. Kegiatan"
113,"ini dilakukan tanpa paksaan, berdasarkan kesadaran dan tanggung"
114,Dalam kegiatan pembangunan jalan desa atau perbaikan masjid
115,"masyarakat bekerja sama menyumbangkan tenaga, bahan, dan waktu."
116,3. Tolong Menolong dalam Acara Sosial
117,Pada saat warga mengadakan pengajian di masjid setiap hari Kamis
118,"Pahing, masyarakat terutama para pemuda desa bergotong royong"
119,"untuk persiapan pengajian seperti menata kursi roda, sound, dll."
120,4. Musyawarah Desa
121,"Sebelum melakukan kegiatan bersama, masyarakat biasanya mengadakan"
122,"musyawarah untuk menentukan waktu, pembagian tugas, dan bentuk"
123,kegiatan. Ini menunjukan bahwa keputusan diambil secara mufakat dan
124,demokratis
125,Budaya gotong royong masyarakat Desa Kalilusi sangat relevan dengan
126,"nilai-nilai yang terkandung dalam Pancasila sebagai sistem filsafat, yaitu"
127,1. Sila pertama: Ketuhanan yang Maha Esa
128,Warga melaksanakan gotong royong dengan rasa ikhlas dan keimanan
129,bahwa tolnog-menolong adalah perintah Tuhan. Mereka percaya
130,bahwa membantu sesama adalah bentuk amal kebaikan.
131,2. Sila Kedua: Kemanusiaan yang Adil dan Beradab
132,Tindakan saling membantu tanpa membeda-bedakan status sosial
133,menunjukan penghargaan terhadap mertabat manusia dan nilai 
134,kemanusiaan yang beradab.
135,3. Sila Ketiga: Persatuan Indonesia
136,Gotong royong menunjukan rasa persatuan dan kesatuan antarwarga
137,"Dalam kegiatan bersama, perbedaan usia, profesi, dan latar belakang"
138,sosial menjadi tidak penting: yang utama adalah tujuan bersama.
139,4. Sila Keempat: Kerakyatan yangDipimpin oleh hikmat kebijaksanaan
140,Dalam Permusyawaratan/Perwakilan
141,Kebiasaan masyarakat Desa Kalisuli untuk bermusyawarah sebelum
142,mengambil keputusan menunjukan praktik demokrasi yang berakar
143,dari budaya lokal
144,5. Sila Kelima: Keadilan Sosial bagi Seluruh Rakyat Indonesia
145,"Dalam kegiatan gotong royong, hasil kerja dan manfaatnya"
146,dirasakan oleh seluruh warga tanpa ada yang diistimewakan. Ini
147,menunjukan keadilan sosial yang hidup di masyarakat.
148,Kesimpulan
149,"Budaya gotong royong di Desa Kalilusi, RT 004 RW 009, Kecamatan "
150,"Sapuran, Kabupaten Wonosobo masih berjaga dan menjadi bagian"
151,penting dari kehidupan sosial masyarakat. Warga menjalankan gotong
152,"royong dalam berbagai bentuk seperti kerja bakti lingkungan, kegiatan"
153,"sosial, pembangunan fasilitas umum, dan musyawarah desa. Budaya"
154,gotong royong memiliki keterkaitan erat dengan nilai-nilai Pancasila
155,sebagai sistem filsafat. Setiap sila Pancasila tercermin dalam praktik
156,"gotong royong, mulai dari ketulusan berbuat baik (sila pertama), sila"
157,"saling menghargai (sila kedua), semangat persatuan (sila ketiga),"
158,"kebiasaan bermusyawarah (sila keempat), hingga keadilan sosial (sila"
159,kelima)
160,Bab 1 Kerajinan Berbasis Media Campuran
161,1. Prinsip Kerajinan Berbasis Media Campuran
162,Didalam pembuatan Produk kerajinan dengan menggunakan
163,satu jenis bahan terkadang banyak menemui kendala. Kendala
164,"yang biasa didapat seperti terbatasnya bahan baku, bentuk"
165,"produk yang monoton, dan kurang terlihat modern"
166,Meskipun tidak dapat dipungkiri bahwa produk kerajinan
167,sejenis ini yang biasa disebut orang bentuk klasik banyak juga
168,"peminatnya, tetapi sebagai pengrajin perlu juga meningkatkan"
169,inspirasinya untuk melakukan perubahan-perubahan bentuk
170,pada produk kerajinan. Salah satunya adalah dengan menggun
171,kan media campuran.
172,Didalam melakukan perubahan strategi pada kerajinan berbasis
173,media campuran perlu kiranya kita memahami prinsip
174,kerajinan berbasis media campuran.
175,1. Merupakan penggabungan dari berbagai bahan yang tidak
176,memiliki reaksi kimia tertentu ketika dilakukan penggabungan.
177,misalnya bahan yang digunakan dapat membuat bahan lainya
178,terkikis atau berkarat dan sebagainya
179,c) Sunan Bonang
180,Sunan bonang adalah putri sunan Ample dari pernikahanya dengan
181,"Nyai Ageng Manila Putri Arya Teja (Bupati Tuban), lahir di Sura-"
182,baya tahun 1465 dan wafat tahun 1525. Sunan Bonang di
183,kenal dengan nama Raden Maulana Makdum Ibrahim dan
184,termasuk saudara sepupu dari Sunan Kalijaga
185,d) Sunan Giri
186,Nama asli beliau adalah Raden Paku dan di kenal dengan
187,nama raden Ainul Yaqin putra dari Maulana Ishaq. Sunan
188,"Giri wafat pada tahun 1506 di Giri, Gresik, Jawa Timur."
189,e) Sunan derajat
190,Sunan drajat lahir di Ampel tahun 1407 dengan nama asli Raden
191,Qosim atau Syarifudin. Sunan drajat merupakan adik Sunan
192,Bonang putra Sunan Ampel. Wafat pada pertengahan abad ke
193,"16 dan dimakamkan di daerah Sedayu, Gresik, Jawa Timur."
194,f) Sunan Kalijaga
195,Nama asli beliau adalah Raden Mas Syadid. Sunan Kalijaga
196,menikah dengan Dewi Sarah binti Maulana. Dan memiliki 3
197,"putra yakni Sunan Muria, Dewi Ruqoyah, Dewi Sofiyah"
198,g) Sunan Kudus
199,Sunan Kudus putra dari Sunan Ngudung. Nama aslinya Raden
200,Ja'far Shadiq. Beliau mendapat gelar Waliyul Ilmi (orang yang
201,kuat ilmunya).
202,1. Efek rumah kaca adalah proses pemanasan alami
203,yang terjadi ketika gas-gas tertentu di
204,atmosfer bumi memerangkap panas.
205,Sedangkan Pemanasan global adalah istilah yang
206,digunakan untuk menggambarkan peningkatan suhu
207,rata-rata atmosfer bumi dan lautan secara
208,"bertahap, serta sebuah perubahan yang diyakini"
209,secara permanen mengubah iklim bumi
210,2. emisi metana
211,3. deforestation dan pembakaran lahan hutan
212,4. penggunaan chlorofluorocarbons (CFCS)
213,3 Pernyataan yang merupakan penyebab pemanasan
214,global adalah
215,a. Penggundulan hutan
216,4 AC dan lemari es mengandung bahan Cholorofluoro-
217,carbons (CFCS). Keduanya termasuk alat pendingin
218,Neyna Hafiya Zahra
219,1. Efek rumah kaca adalah proses pemanasan alami
220,yang terjadi ketika gas-gas tertentu di atmosfer
221,bumi memerangkap panas.
222,Sedangkan pemanasan global adalah istilah yang
223,digunakan untuk menggambarkan peningkatan suhu
224,rata-rata atmosfer bumi dan lautan secara bertahap
225,serta sebuah perubahan yang diyakini secara permanen
226,mengubah iklim bumi.
227,2. Karbondioksida
228,Metana
229,Dinitrogen Okside
230,Ozon
231,Sulfur dioksida
232,3. a. Penggundulan hutan
233,d. Pembakaran hutan
234,"4. Efek rumah kaca, efek ini akan menjadikan panas suhu"
235,"permukaan bumi meningkat, sehingga menimbulkan"
236,pemanasan global
237,5. Energi matahari sebagian dipantulkan kembali dalam
238,bentuk radiasi inframerah. Karena aktivitas manusia
239,rumah kaca jumlahnya semakin banyak di atmosfer bumi
240,Sebagian besar radiasi Inframerah yang dipantulkan
241,tertahan oleh gas rumah kaca sehingga panas
242,matahari kembali ke permukaan bumi
243,6. Panas dari matahari akan kembali dipantulkan
244,2. Bahan yang digunakan terdiri dari berbagai jenis. Tidak hanya
245,"satu saja melainkan lebih dari satu, dapat dua, tiga atau lebih"
246,Semua bergantung kepada rancangan kebutuhan dari produk
247,kerajinan yang akan dibuat.
248,"3. Bahan dapat terdiri dari bahan homogen, atau heterogen"
249,"Misalnya bahan alam dengan bahan alam, bahan buatan dengan"
250,"bahan buatan, dapat pula bahan alam dengan buatan. Tidak"
251,terjadi perubahan fisik pada salah satu bahan yang digabungkan
252,misalnya terjadi lelehan setelah direkatkan dan sebagainya.
253,4. Masing-masing bahan memiliki karakteristik sendiri yang
254,saling mendukung terwujudnya keindahan (estetika) dari
255,sebuah produk kerajinan yang dibuat
256,5. Penggabungan bahan yang dilakukan harus dapat menyatu
257,"dengan bahan lainya, sehingga terjadi kesatuan dan harmonisa"
258,Kerajinan berbasis media campuran dengan penciptaan bentuk
259,baru diperlukan pembuatan rancangan yang tepat. Rancangan
260,yang dibuat juga harus mempertimbangkan bentuk yang
261,seperti apa yang diinginkan pada produk kerajinan yang akan
262,dibuat
263,Dibawah ini beberapa petunjuk sebelum melakukan perancan
264,"Produk, agar tercipta bentuk produk kerajinan berbasis media"
265,campuran yang unik dan artistik
266,Menyederhanakan Bentuk dengan Mengurangi atau Menam
267,Bentuk Produk Kerajinan Berbasis Media Campuran (stilasi
268,Melakukan strategi perubahan dengan menyederhanakan ben
269,Produk kerajinan dilakukan dengan melakukan pengamatan
270,"Produk asal sebagai obyek perubahan, yang dilakukan adalah"
